Model,Mean_Macro_F1,Std_Dev
vit_tiny,0.5328030540418613,0.02346369736159169
efficientnet_b0,0.7987696684109321,0.01952869251295912
resnet50,0.7528969552876941,0.017773433195599184
Baseline_Majority,0.10646687697160884,0.0
Baseline_Random,0.12107287793025384,0.0
